id_avis,date,source,produit,texte,sentiment,note,langue,type_de_texte,longueur,a_emojis,a_urls,a_hashtags,a_mentions,a_chiffres,a_ponctuation_repetee,a_caracteres_speciaux,texte_clean,tokens,nb_tokens,texte_final
AV0001,2026-02-27,mobile,Ordinateur NovaBook,Très bonne expérience  simple et efficace ,positif,4,fr,texte normal,47.0,False,False,False,False,False,False,True,très bonne expérience simple et efficace,"['très', 'bonne', 'expérience', 'simple', 'et', 'efficace']",6,très bon expérience simple efficace
AV0002,2026-01-09,web,SmartPhone X,Très satisfait de mon achat 👍 avis,positif,4,fr,texte contenant un hashtag,35.0,True,False,True,False,False,False,True,très satisfait de mon achat 👍 avis,"['très', 'satisfait', 'de', 'mon', 'achat', '👍', 'avis']",7,très satisfait achat 👍 avis
AV0003,2026-07-03,réseaux_sociaux,Écouteurs AirSound,Produit parfait  rien à signaler ,positif,4,fr,texte normal,37.0,False,False,False,False,False,False,True,produit parfait rien à signaler,"['produit', 'parfait', 'rien', 'à', 'signaler']",5,produit parfaire rien signaler
AV0004,2026-06-28,sav,SmartWatch Pro,Produit excellent  je suis très satisfait   ! ,positif,5,fr,texte avec beaucoup de ponctuation,46.0,False,False,False,False,False,True,True,produit excellent je suis très satisfait !,"['produit', 'excellent', 'je', 'suis', 'très', 'satisfait', '!']",7,produit excellent être très satisfait
AV0005,2026-01-24,sav,SmartPhone X,LA BATTERIE TIENT VRAIMENT BIEN ET L ÉCRAN EST SUPERBE ,positif,5,fr,texte en majuscules,55.0,False,False,False,False,False,False,True,la batterie tient vraiment bien et l écran est superbe,"['la', 'batterie', 'tient', 'vraiment', 'bien', 'et', 'l', 'écran', 'est', 'superbe']",10,batterie tenir vraiment bien écran être superbe
AV0006,2026-07-26,web,Ordinateur NovaBook,Très satisfait de mon achat 👍 😊,positif,5,fr,texte contenant des emojis,31.0,True,False,False,False,False,False,True,très satisfait de mon achat 👍 😊,"['très', 'satisfait', 'de', 'mon', 'achat', '👍', '😊']",7,très satisfait achat 👍 😊
AV0007,2026-05-22,email,Ordinateur NovaBook,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT ,positif,4,fr,texte en majuscules,52.0,False,False,False,False,False,False,True,service client réactif et commande reçue rapidement,"['service', 'client', 'réactif', 'et', 'commande', 'reçue', 'rapidement']",7,service client réactif commande recevoir rapidement
AV0008,2026-06-30,web,SmartPhone X,Très satisfait de mon achat 👍,positif,5,fr,texte contenant des emojis,34.0,True,False,False,False,False,False,True,très satisfait de mon achat 👍,"['très', 'satisfait', 'de', 'mon', 'achat', '👍']",6,très satisfait achat 👍
AV0009,2026-08-10,web,Écouteurs AirSound,Le produit correspond globalement à la description ,neutre,3,fr,texte normal,57.0,False,False,False,False,False,False,True,le produit correspond globalement à la description,"['le', 'produit', 'correspond', 'globalement', 'à', 'la', 'description']",7,produit correspondre globalement description
AV0010,2026-04-01,mobile,Ordinateur NovaBook,Livraison rapide et produit conforme à mes attentes ,positif,5,fr,texte contenant une mention,60.0,False,False,False,True,False,False,True,livraison rapide et produit conforme à mes attentes,"['livraison', 'rapide', 'et', 'produit', 'conforme', 'à', 'mes', 'attentes']",8,livraison rapide produire conforme attente
AV0011,2026-05-17,mobile,SmartPhone Y,Très satisfait de mon achat 👍  ! ,positif,4,fr,texte contenant des emojis,33.0,True,False,False,False,False,True,True,très satisfait de mon achat 👍 !,"['très', 'satisfait', 'de', 'mon', 'achat', '👍', '!']",7,très satisfait achat 👍
AV0013,2026-03-10,web,SmartPhone Y,La batterie tient vraiment bien et l écran est superbe  avis,positif,4,fr,texte contenant un hashtag,61.0,False,False,True,False,False,False,True,la batterie tient vraiment bien et l écran est superbe avis,"['la', 'batterie', 'tient', 'vraiment', 'bien', 'et', 'l', 'écran', 'est', 'superbe', 'avis']",11,batterie tenir vraiment bien écran être superbe avis
AV0014,2026-06-17,sav,Écouteurs AirSound,Mauvaise expérience  je ne recommande pas ,negatif,2,fr,texte normal,47.0,False,False,False,False,False,False,True,mauvaise expérience je ne recommande pas,"['mauvaise', 'expérience', 'je', 'ne', 'recommande', 'pas']",6,mauvais expérience ne recommander pas
AV0015,2026-03-09,mobile,SmartPhone Y,Qualité décevante pour ce prix   ! ,negatif,2,fr,texte avec beaucoup de ponctuation,35.0,False,False,False,False,False,True,True,qualité décevante pour ce prix !,"['qualité', 'décevante', 'pour', 'ce', 'prix', '!']",6,qualité décevant prix
AV0016,2026-08-18,réseaux_sociaux,Écouteurs AirSound,Produit correct pour son prix  avis,neutre,4,fr,texte contenant un hashtag,36.0,False,False,True,False,False,False,True,produit correct pour son prix avis,"['produit', 'correct', 'pour', 'son', 'prix', 'avis']",6,produit correct prix avis
AV0019,2026-08-09,web,Ordinateur NovaBook,Le produit ne fonctionne déjà plus ,negatif,2,fr,texte normal,35.0,False,False,False,False,False,False,True,le produit ne fonctionne déjà plus,"['le', 'produit', 'ne', 'fonctionne', 'déjà', 'plus']",6,produit ne fonctionner déjà plus
AV0020,2026-07-16,email,SmartPhone X,Je viens de recevoir le produit  à voir dans le temps  😊,neutre,4,fr,texte contenant des emojis,56.0,True,False,False,False,False,False,True,je viens de recevoir le produit à voir dans le temps 😊,"['je', 'viens', 'de', 'recevoir', 'le', 'produit', 'à', 'voir', 'dans', 'le', 'temps', '😊']",12,venir recevoir produit voir temps 😊
AV0021,2026-07-04,email,Tablette TabPlus,Excellent rapport qualité prix ,positif,5,fr,texte normal,31.0,False,False,False,False,False,False,True,excellent rapport qualité prix,"['excellent', 'rapport', 'qualité', 'prix']",4,excellent rapport qualité prix
AV0022,2026-08-04,réseaux_sociaux,Tablette TabPlus,Le produit correspond globalement à la description  😊,neutre,4,fr,texte contenant des emojis,53.0,True,False,False,False,False,False,True,le produit correspond globalement à la description 😊,"['le', 'produit', 'correspond', 'globalement', 'à', 'la', 'description', '😊']",8,produit correspondre globalement description 😊
